FID, PD , LPI , ED , LSI , CONTAG , SHDI , SHEI , AI
0,38.2812,100,0,1,0,0,0,100
1,20.4167,87.5556,96.3942,2.0667,48.1026,0.3757,0.542,86.2033
2,45.9375,63.5,191.4706,2.9828,10.7518,0.6443,0.9295,71.2298
3,37.5306,92.4837,73.0931,1.9429,62.2151,0.2668,0.3849,89.2174
4,14.3555,98.3333,14.1202,1.1613,88.772,0.0848,0.1223,98.2748
5,45.5729,85.4497,112.0655,2.6026,43.1929,0.4101,0.5917,83.4553
6,25.2404,87.1795,70.7564,2.2128,56.6457,0.3267,0.4713,89.8037
7,57.5658,74.6867,197.0465,3.9,19.964,0.5603,0.8083,70.4908
8,287.1093,75,169.443,1.5714,18.8722,0.5623,0.8113,68.75
9,119.6289,75,211.8037,2.0714,19.361,0.5623,0.8113,66.1029
10,95.7031,83.3333,131.789,1.5833,35.8115,0.4506,0.65,80.2721
11,53.0048,64.2308,177.2634,3.0606,15.9879,0.6076,0.8765,73.8534
12,74.5738,84.4156,138.6352,2.26,38.4608,0.4327,0.6243,79.0076
13,63.8021,79.7619,154.6504,2.7969,29.4258,0.5037,0.7267,77.0167
14,59.8144,70.1389,196.5068,3.4559,14.4793,0.6097,0.8796,70.7733
15,30.7069,96.2567,38.9628,1.5513,77.6025,0.1597,0.2304,94.1826
16,53.0048,77.4359,139.0302,2.4286,30.0188,0.5074,0.7321,79.6045
17,27.1673,82.5806,89.6408,2.4432,41.5978,0.4557,0.6575,86.991
18,24.8579,50.8658,209.053,4.407,5.5548,0.6829,0.9852,68.6654
19,64.9117,76.9565,172.3898,2.9516,23.8287,0.5398,0.7788,73.6711
20,44.7443,97.4026,30.8078,1.1944,82.7355,0.1205,0.1738,95.1889
21,41.8459,93.9271,64.4844,1.7344,66.9689,0.229,0.3303,90.3772
22,41.41,84.375,95.3117,2.4512,43.25,0.4293,0.6194,86.1441
23,57.4219,75.5882,164.4594,3.2297,25.9424,0.5277,0.7612,75.5789
24,42.2502,68.2274,189.2775,4.4082,14.3783,0.6172,0.8905,71.9986
25,62.642,37.5758,219.7624,3.0577,4.1759,0.6834,0.9859,67.2301
26,65.2199,65.1852,220.9035,4.2439,9.5585,0.6399,0.9232,66.7884
27,183.7499,68,149.1098,1.55,15.2123,0.6269,0.9044,81.28
28,49.9321,78.2609,159.5134,3.7065,29.6557,0.4983,0.7189,76.3157
29,111.6536,73.6111,192.9767,2.2647,17.2699,0.5771,0.8326,70.1723
30,33.288,81.4493,123.7671,2.6579,35.5666,0.471,0.6794,81.7875
31,20.148,82.4561,112.962,2.0926,37.0338,0.4644,0.67,83.2129
32,93.4135,73.6842,220.5191,3.3793,17.0554,0.5763,0.8315,66.1952
33,45.841,81.7227,111.0635,2.7955,39.7014,0.446,0.6435,83.6223
34,63.8021,77.7778,163.7949,2.6111,26.7844,0.5227,0.754,75.4328
35,42.1094,91.6667,73.4253,1.9286,60.0471,0.2868,0.4138,89.2846
36,38.2812,67.0833,159.5588,2.8548,17.0365,0.6144,0.8863,76.62
37,47.2886,66.4706,190.3742,3.5811,12.3997,0.6338,0.9143,71.9221
38,53.7281,91.2281,79.2716,2.0811,58.7995,0.2972,0.4288,88.2802
39,39.384,75.3086,154.3349,4.0741,23.7715,0.5589,0.8063,77.2573
40,36.4583,79.3651,145.2369,1.8438,27.8375,0.5091,0.7344,80.0498
41,39.1513,79.5455,111.6783,1.7632,32.6039,0.5066,0.7309,84.8854
42,14.9148,99.3506,6.6017,1.06,94.7939,0.0392,0.0565,98.9971
43,47.8515,79.1667,136.4957,1.8529,28.8102,0.5117,0.7383,81.1147
44,62.3586,69.6833,168.6763,2.8333,18.2747,0.5935,0.8562,75.2253
45,24.1776,73.9474,138.2298,2.9872,24.8913,0.5623,0.8113,79.9254
46,30.7617,86.6071,66.5669,1.5455,50.3464,0.3938,0.5681,90.7612
47,30.222,87.0614,87.6942,2.3721,48.9796,0.381,0.5497,87.3023
48,29.3635,67.3295,208.9155,3.8553,11.1584,0.6318,0.9115,68.8058
49,28.3565,98.7654,12.5513,1.0833,91.0404,0.0665,0.096,98.0699
50,83.7402,83.3333,144.7326,2.025,36.1325,0.4506,0.65,77.6311
51,57.4219,70,163.7949,1.9062,15.7362,0.6109,0.8813,76.072
52,21.5332,97.2917,32.4766,1.5227,81.9037,0.1245,0.1795,95.2288
53,31.25,96.5986,34.5802,1.42,78.8263,0.1484,0.2141,93.8723
54,33.128,96.1538,29.3267,1.2143,78.4368,0.163,0.2352,95.9402
55,54.6875,51.9048,208.1728,3.2241,5.6381,0.68,0.981,69.2847
56,34.5395,78.6967,138.4421,3.0375,29.9325,0.5113,0.7377,79.7553
57,54.6875,57.1429,129.0994,1.75,15.5394,0.6563,0.9468,83.5577
58,102.0833,77.7778,165.6776,1.7857,23.8264,0.5297,0.7642,74.9926
59,46.875,89.7959,41.4962,1.2143,60.589,0.3295,0.4754,98.7865
60,24.8119,55.8642,207.097,3.75,5.3082,0.6863,0.9901,69.3337
61,574.2186,100,0,1,0,0,0,100
62,76.5625,88.3333,96.0177,1.5312,49.0382,0.3602,0.5197,86.4011
63,80.5921,75.4386,175.3884,2.4773,21.3923,0.5575,0.8043,72.0032
64,33.9998,70.3947,170.5578,3.1857,16.7049,0.6075,0.8764,74.9731
65,50.6663,58.0882,156.984,2.3542,11.0904,0.6718,0.9692,77.2787
66,6.716,99.4152,6.9363,1.0946,94.9877,0.0359,0.0518,98.9514
67,48.2537,78.1513,133.8457,2.5161,28.7015,0.525,0.7574,80.7668
68,57.4219,90.7143,72.6184,1.625,59.3288,0.2925,0.422,89.4644
69,52.2017,92.4242,66.7503,1.3824,61.8133,0.2683,0.3871,90.8662
70,22.6665,97.1491,30.47,1.4767,81.7362,0.1295,0.1869,95.5931
71,13.0504,96.5909,21.8222,1.2879,81.3454,0.1487,0.2145,97.045
72,36.8089,75,119.479,2.1,27.3768,0.5552,0.801,83.53
73,114.8437,75,101.6658,1.3333,26.5571,0.5623,0.8113,93.1818
74,43.5014,90.9091,83.1811,2.5577,57.3239,0.3046,0.4395,87.6499
75,15.625,91.4966,55.3283,1.6857,62.1478,0.2909,0.4197,92.2503
76,104.4034,62.6263,195.1162,2.425,8.3627,0.6609,0.9535,71.3458
77,31.901,63.3681,178.2682,4.1562,15.743,0.6126,0.8838,73.7685
78,34.0278,65.1852,135.5544,2.125,16.3516,0.6463,0.9324,81.0165
79,38.1474,83.9161,125.6011,3.2083,38.7277,0.4411,0.6363,81.4433
80,40.6013,69.3603,191.1226,4.4184,15.6554,0.6048,0.8725,71.6078
81,63.8021,68.5185,187.0149,3.3788,14.4766,0.614,0.8858,71.5794
82,31.901,100,0,1.0833,0,0,0,98.3333
83,91.353,75,177.145,2.2105,20.3258,0.5623,0.8113,73.8043
